Order ID,Fiscal Year,Consumer Gender,Consumer Ethnicity ,First Time Customer,Region,State,Product #,Product Line
46893,y13,F,Race6,,G,CA,Product 1,Line 1
162729,y13,M,Race1,,,CA,Product 1,Line 1
109208,y13,F,Race5,,G,CA,Product 1,Line 1
109208,y13,F,Race5,,G,CA,Product 1,Line 1
109208,y13,F,Race5,,G,CA,Product 1,Line 1
83101,y13,#N/A,Race5,#N/A,G,CA,Product 1,Line 1
212475,y13,M,Race5,,G,CA,Product 1,Line 1
212475,y13,M,Race5,,G,CA,Product 1,Line 1
347717,y13,M,Race5,C,G,CA,Product 1,Line 1
347717,y13,M,Race5,C,G,CA,Product 1,Line 1
347717,y13,M,Race5,C,G,CA,Product 1,Line 1
440972,y13,M,Race2,,G,CA,Product 1,Line 1
480042,y13,F,Race3,,G,CA,Product 1,Line 1
347717,y13,M,Race5,C,G,CA,Product 1,Line 1
480042,y13,F,Race3,,G,CA,Product 1,Line 1
480042,y13,F,Race3,0,G,CA,Product 1,Line 1
492588,y13,F,Race2,,G,CA,Product 1,Line 1
492588,y13,F,Race2,0,G,CA,Product 1,Line 1
492588,y13,F,Race2,0,G,CA,Product 1,Line 1
556735,y13,M,Race4,,G,CA,Product 1,Line 1
556735,y13,M,Race4,,G,CA,Product 1,Line 1
556735,y13,M,Race4,0,G,CA,Product 1,Line 1
656346,y13,M,Race6,,G,CA,Product 1,Line 1
656346,y13,M,Race6,0,G,CA,Product 1,Line 1
656346,y13,M,Race6,0,G,CA,Product 1,Line 1
696844,y13,M,Race1,,G,CA,Product 1,Line 1
708189,y13,M,Race7,,G,CA,Product 1,Line 1
708189,y13,M,Race7,,G,CA,Product 1,Line 1
708189,y13,M,Race7,0,G,CA,Product 1,Line 1
713913,y13,M,Race6,,G,CA,Product 1,Line 1
713913,y13,M,Race6,,G,CA,Product 1,Line 1
718230,y13,M,Race6,FG,G,CA,Product 1,Line 1
718230,y13,M,Race6,FG,G,CA,Product 1,Line 1
718230,y13,M,Race6,FG,G,CA,Product 1,Line 1
727823,y13,F,Race1,,G,CA,Product 1,Line 1
727823,y13,F,Race1,,G,CA,Product 1,Line 1
731249,y13,F,Race6,,G,CA,Product 1,Line 1
731249,y13,F,Race6,0,G,CA,Product 1,Line 1
741974,y13,F,Race6,,G,CA,Product 1,Line 1
193563,y13,M,Race6,,G,CA,Product 1,Line 1
193563,y13,M,Race6,,G,CA,Product 1,Line 1
926224,y13,M,Race6,FG,G,CA,Product 1,Line 1
1005223,y13,F,Race2,,G,CA,Product 1,Line 1
926851,y13,F,Race6,FG,G,CA,Product 1,Line 1
926790,y13,F,Race2,,G,CA,Product 1,Line 1
927134,y13,F,Race6,,G,CA,Product 1,Line 1
999594,y13,F,Race6,,G,CA,Product 1,Line 1
918515,y13,M,Race6,FG,G,CA,Product 1,Line 1
928549,y13,M,Race2,,G,CA,Product 1,Line 1
998209,y13,M,Race6,,G,CA,Product 1,Line 1
1004563,y13,F,Race4,,G,CA,Product 1,Line 1
946716,y13,M,Race3,FG,G,CA,Product 1,Line 1
950066,y13,F,Race6,FG,G,CA,Product 1,Line 1
926081,y13,F,Race6,,G,CA,Product 1,Line 1
